,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
118,119,Aug 15,True,LAD,"W,7-6",9.0,8,6,6,0,2,5,2,0,4.14,37,,,5.0,3.0,0,0,35,1,0,1,0,0,0,0,4,Tom Hallion,"D.Cook (5-38), R.O'Neal (2-BSv), L.McWilliams (3), J.Parrett (1-W)",PHI,1989
119,120,Aug 16,True,LAD,"W,6-2",9.0,9,2,1,1,7,4,0,0,4.11,41,160.0,86.0,3.0,0.0,1,0,33,4,0,0,1,0,0,2,3,John Kibler,"D.Carman (4-52-W), T.Frohwirth (3-H), R.McDowell (3-Sv)",PHI,1989
120,121,Aug 17,True,LAD,"L,4-10",9.0,13,10,9,1,3,6,1,1,4.15,44,157.0,101.0,2.0,2.0,0,0,37,2,0,0,1,1,2,2,4,Gerry Davis,"K.Howell (4-43-L), L.McWilliams (1), R.O'Neal (1), T.Frohwirth (0)",PHI,1989
121,122,Aug 18,True,SFG,"L,2-5",9.0,9,5,4,1,2,7,2,0,4.15,38,146.0,91.0,0.0,0.0,0,0,35,2,0,0,0,1,1,1,3,Charlie Williams,"B.Ruffin (4-42-L), J.Parrett (2), L.McWilliams (0)",PHI,1989
122,123,Aug 19,True,SFG,"W,1-0",9.0,2,0,0,0,2,4,0,0,4.12,32,,,,,0,0,30,0,0,0,0,0,2,1,1,Bill Hohn,T.Mulholland (7-85-W),PHI,1989
123,124,Aug 20,True,SFG,"L,2-5",9.0,7,5,1,4,8,4,1,3,4.09,44,141.0,72.0,2.0,0.0,1,1,31,2,0,2,2,0,1,1,3,Joe West,"D.Cook (4-58), J.Parrett (1), R.McDowell (3-BL)",PHI,1989
124,125,Aug 21,True,SDP,"L,2-8",9.0,10,8,7,1,2,4,2,0,4.12,38,126.0,81.0,0.0,0.0,0,0,35,3,2,0,1,0,1,1,3,Randy Marsh,"D.Carman (4-27-L), R.O'Neal (3), T.Frohwirth (3)",PHI,1989
125,126,Aug 22,True,SDP,"W,4-2",9.0,4,2,2,0,4,8,1,0,4.1,34,134.0,86.0,1.0,0.0,2,0,30,1,0,0,0,0,0,1,3,Harry Wendelstedt,"K.Howell (4-76-W), J.Parrett (1-H), R.McDowell (1-Sv)",PHI,1989
126,127,Aug 23,True,SDP,"L,3-7",9.0,12,7,6,1,5,10,1,0,4.11,43,167.0,102.0,3.0,2.0,5,0,38,2,0,1,0,0,0,1,3,Gary Darling,"B.Ruffin (4-29-L), T.Frohwirth (1), L.McWilliams (4)",PHI,1989
127,128,Aug 25,False,LAD,"W,3-2",9.0,10,2,2,0,1,5,0,0,4.1,38,129.0,87.0,2.0,0.0,0,0,36,2,0,0,1,0,0,0,2,Frank Pulli,"T.Mulholland (5-54-W), J.Parrett (2-Sv)",PHI,1989
128,129,Aug 26,False,LAD,"L,0-4",8.0,8,4,4,0,2,6,1,0,4.1,33,100.0,68.0,3.0,0.0,0,0,31,3,0,0,0,0,0,1,4,Mark Hirschbeck,"D.Cook (5-29-L), R.O'Neal (4), T.Frohwirth (2), R.McDowell (3)",PHI,1989
129,130,Aug 27,False,LAD,"L,1-8",8.0,12,8,8,0,4,6,1,0,4.13,40,154.0,96.0,0.0,0.0,1,0,35,1,0,0,0,1,0,0,3,Bob Davidson,"D.Carman (5-36-L), L.McWilliams (3), T.Frohwirth (0)",PHI,1989
130,131,Aug 28,False,SFG,"W,9-1",9.0,6,1,1,0,1,3,0,0,4.11,34,116.0,80.0,0.0,0.0,0,0,32,2,0,0,0,1,0,0,2,John McSherry,"K.Howell (5-69-W), J.Parrett (2)",PHI,1989
131,132,Aug 29,False,SFG,"W,6-1",9.0,6,1,1,0,3,6,1,0,4.09,34,102.0,61.0,1.0,0.0,0,0,31,1,0,0,0,0,0,1,2,Joe West,"B.Ruffin (5-66-W), R.McDowell (2-Sv)",PHI,1989
132,133,Aug 30,False,SFG,"L,2-3",8.0,12,3,2,1,1,9,0,1,4.07,35,,,2.0,0.0,0,0,32,2,0,0,1,0,0,0,3,Jerry Crawford,"T.Mulholland (4-42-L), L.McWilliams (2), J.Parrett (1)",PHI,1989
133,134,Aug 31,False,SDP,"L,1-5",8.0,9,5,4,1,5,5,1,0,4.08,36,131.0,76.0,0.0,0.0,2,1,31,2,0,2,0,0,0,0,2,Eric Gregg,"D.Carman (3-41-L), R.McDowell (1)",PHI,1989
134,135,Sep 2,False,SDP,"L,2-3",8.0,5,3,3,0,0,8,0,0,4.07,30,103.0,68.0,1.0,1.0,2,0,30,1,0,0,0,0,2,1,2,John Kibler,"K.Howell (4-67-L), J.Parrett (2)",PHI,1989
135,136,Sep 3,False,SDP,"L,5-9",8.0,10,9,5,4,3,7,2,0,4.08,38,122.0,79.0,1.0,0.0,0,0,34,5,0,1,1,0,1,0,4,Gerry Davis,"D.Cook (7-36-L), R.O'Neal (7), J.Parrett (0), R.McDowell (2)",PHI,1989
136,137,Sep 4,True,PIT,"L,5-7",9.0,12,7,7,0,3,2,0,0,4.1,40,92.0,54.0,3.0,1.0,1,0,36,6,0,0,1,0,0,2,4,Fred Brocklander,"T.Mulholland (4-28), M.Maddux (92-L), C.McElroy (99), T.Frohwirth (7)",PHI,1989
137,138,Sep 5,True,PIT,"W,3-2",9.0,5,2,1,1,3,7,0,0,4.08,33,123.0,80.0,0.0,0.0,1,0,29,0,1,0,0,1,1,2,2,Bob Engel,"P.Combs (99-65), J.Parrett (1-BW)",PHI,1989
138,139,Sep 6,True,CHC,"W,9-1",9.0,8,1,1,0,3,4,1,0,4.06,36,130.0,85.0,,,0,0,33,2,0,0,0,0,0,2,1,Dutch Rennert,B.Ruffin (7-68-W),PHI,1989
139,140,Sep 7,True,CHC,"L,2-6",9.0,8,6,6,0,4,8,2,0,4.07,38,129.0,83.0,0.0,0.0,1,0,34,0,1,0,0,0,0,1,5,Paul Runge,"K.Howell (4-33-L), D.Carman (6), C.McElroy (2), T.Frohwirth (2), R.McDowell (3)",PHI,1989
