,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
10,11,Apr 16,True,NYY,"W,6-3",9.0,10,3,3,0,1,2,0,0,4.2,36,132.0,86.0,1.0,1.0,0,0,34,2,0,0,0,1,1,3,3,Ted Hendry,"S.Karl (4-56-W), M.Kiefer (4), G.Lloyd (2)",MIL,1996
11,12,Apr 17,True,NYY,"W,8-4",9.0,9,4,3,1,4,2,0,1,4.1,40,146.0,90.0,5.0,2.0,0,0,35,3,0,0,0,0,0,1,4,John Hirschbeck,"R.Bones (4-48-W), C.Carpenter (5), K.Wickander (4-H), G.Lloyd (0)",MIL,1996
12,13,Apr 18,False,KCR,"W,8-2",9.0,9,2,2,0,1,3,0,0,3.93,37,145.0,85.0,0.0,0.0,0,0,36,4,1,0,0,0,1,1,3,Greg Kosc,"S.Sparks (4-61-W), K.Wickander (0), M.Fetters (8)",MIL,1996
13,14,Apr 19,False,KCR,"W,8-2",9.0,8,2,2,0,0,4,0,0,3.8,35,126.0,82.0,0.0,0.0,2,0,35,2,0,0,0,0,1,1,2,Tim McClelland,"B.McDonald (4-57-W), G.Lloyd (1)",MIL,1996
14,15,Apr 20,False,KCR,"W,12-4",9.0,6,4,2,2,3,7,0,0,3.68,36,161.0,92.0,0.0,0.0,1,0,32,2,0,0,0,1,2,2,4,Tim Tschida,"Á.Miranda (5-68-W), M.Kiefer (3), M.Potts (13), M.Fetters (1)",MIL,1996
15,16,Apr 21,False,KCR,"W,5-4",9.0,9,4,4,0,8,4,0,1,3.7,42,147.0,79.0,4.0,0.0,1,1,32,2,0,0,1,0,1,1,5,Gary Cederstrom,"S.Karl (4-45), C.Carpenter (3), K.Wickander (2-W), G.Lloyd (1-H), M.Fetters (0-Sv)",MIL,1996
16,17,Apr 22,False,OAK,"L,2-6",8.0,7,6,5,1,7,2,2,0,3.8,38,154.0,87.0,1.0,0.0,0,0,31,2,0,1,0,0,1,1,3,Derryl Cousins,"R.Bones (4-39-L), M.Potts (1), C.Carpenter (0)",MIL,1996
17,18,Apr 23,False,OAK,"L,6-9",8.0,10,9,9,0,3,1,3,1,4.11,38,146.0,85.0,0.0,0.0,0,0,34,3,1,0,0,0,0,0,2,Tim Welke,"S.Sparks (4-19-L), M.Kiefer (2)",MIL,1996
18,19,Apr 24,True,CAL,"L,3-4",9.0,9,4,4,0,3,4,1,0,4.11,38,144.0,84.0,2.0,2.0,0,0,31,2,0,0,3,1,0,0,3,Dan Morrison,"B.McDonald (4-39-L), K.Wickander (2), G.Lloyd (2)",MIL,1996
19,20,Apr 25,True,CAL,"W,6-5",9.0,9,5,5,0,4,4,0,0,4.15,38,138.0,78.0,5.0,4.0,0,0,34,1,0,0,0,0,0,2,4,Larry Barnett,"Á.Miranda (4-57), M.Kiefer (1-H), G.Lloyd (0-BSv), M.Fetters (3-W)",MIL,1996
20,21,Apr 26,True,SEA,"L,5-6",9.0,11,6,6,0,5,9,0,0,4.24,42,183.0,104.0,2.0,1.0,2,0,37,3,1,0,0,0,0,1,4,Dale Scott,"S.Karl (4-49), K.Wickander (1-BSv), C.Carpenter (3), M.Potts (3-L)",MIL,1996
21,22,Apr 27,True,SEA,"L,5-6",9.0,11,6,6,0,3,0,0,0,4.32,38,126.0,74.0,3.0,2.0,1,1,33,2,1,0,0,2,1,2,3,Dave Phillips,"R.Bones (4-34-L), K.Wickander (0-BSv), M.Kiefer (1)",MIL,1996
22,23,Apr 28,True,SEA,"W,16-9",9.0,8,9,9,0,6,4,4,1,4.53,40,145.0,76.0,0.0,0.0,0,1,32,1,0,0,0,1,0,1,4,Rocky Roe,"S.Sparks (4-18), M.Potts (1-W), M.Boze (99-H), M.Fetters (2)",MIL,1996
23,24,Apr 30,False,TOR,"L,8-9",8.2,15,9,9,0,5,5,3,2,4.72,48,171.0,101.0,3.0,1.0,2,0,40,2,1,1,1,0,0,1,4,Durwood Merrill,"B.McDonald (5-17), M.Potts (1), G.Lloyd (4-H), M.Boze (1-BL)",MIL,1996
24,25,May 1,False,TOR,"L,3-9",8.0,10,9,6,3,1,5,1,0,4.8,35,120.0,79.0,1.0,0.0,0,2,33,3,2,0,0,1,2,0,2,Dale Scott,"Á.Miranda (5-29-L), R.García (99)",MIL,1996
25,26,May 2,False,TOR,"L,5-7",8.0,10,7,7,0,3,5,2,1,4.91,36,133.0,79.0,2.0,1.0,0,0,32,1,2,0,0,0,0,0,2,Dave Phillips,"S.Karl (5-34-L), M.Boze (1)",MIL,1996
26,27,May 3,False,BAL,"L,2-8",8.0,9,8,8,0,5,3,4,0,5.04,36,138.0,73.0,1.0,1.0,0,0,31,2,0,0,0,0,0,2,3,Rick Reed,"R.Bones (5-28-L), G.Lloyd (2), M.Fetters (4)",MIL,1996
27,28,May 4,False,BAL,"L,5-10",8.0,9,10,9,1,7,4,3,0,5.21,39,158.0,86.0,3.0,3.0,0,0,32,2,0,0,0,0,1,0,4,Mark Johnson,"S.Sparks (5-18-L), M.Potts (3), K.Wickander (6), R.García (2)",MIL,1996
28,29,May 5,False,BAL,"W,13-1",9.0,4,1,1,0,5,3,1,0,5.06,35,137.0,76.0,0.0,0.0,0,0,30,1,0,0,0,0,0,1,3,Larry Young,"B.McDonald (4-59-W), G.Lloyd (1), M.Fetters (1)",MIL,1996
29,30,May 7,True,BOS,"L,2-4",9.0,7,4,4,0,9,3,0,1,5.02,42,162.0,85.0,8.0,0.0,0,0,31,3,1,1,0,1,0,1,4,Al Clark,"Á.Miranda (5-32-L), R.García (2), G.Lloyd (1), M.Boze (4)",MIL,1996
