,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed,Team,Season
96,97,Aug 1,True,OAK,"L,1-2",9.0,7,2,2,0,3,4,0,0,4.64,36,,,1.0,0.0,0,0,30,0,0,0,3,0,0,1,2,Marty Springstead,"R.Waits (6-61-L), S.Monge (2)",CLE,1980
97,98,Aug 3(1),True,OAK,"L,3-11",9.0,20,11,11,0,5,5,4,0,4.71,50,,,7.0,2.0,2,1,42,4,0,1,3,0,0,0,5,Joe Brinkman,"W.Garland (7-38-L), S.Monge (1), V.Cruz (5), M.Stanton (8), S.Wihtol (8)",CLE,1980
98,99,Aug 3(2),True,OAK,"W,4-2",9.0,5,2,1,1,3,7,0,0,4.67,36,,,,,1,0,33,1,0,0,0,0,2,1,1,Durwood Merrill,L.Barker (5-75-W),CLE,1980
99,100,Aug 4,True,TOR,"W,11-5",9.0,9,5,5,0,5,5,1,1,4.67,40,,,0.0,0.0,0,1,34,1,0,0,0,0,0,1,2,Bill Haller,"D.Spillner (5-47-W), S.Monge (0-Sv)",CLE,1980
100,101,Aug 5,True,TOR,"W,8-5",9.0,14,5,5,0,1,3,1,0,4.67,39,,,0.0,0.0,0,0,38,3,0,0,0,0,0,3,2,Mark Johnson,"R.Grimsley (5-33-W), V.Cruz (1-Sv)",CLE,1980
101,102,Aug 6,True,TOR,"W,5-2",9.0,5,2,2,0,4,3,1,0,4.65,32,,,1.0,0.0,0,0,28,0,0,0,0,0,0,4,2,Ken Kaiser,"R.Waits (4-57-W), V.Cruz (0-Sv)",CLE,1980
102,103,Aug 7,True,TOR,"W,7-6",9.0,10,6,6,0,3,6,3,0,4.66,40,,,0.0,0.0,1,0,37,1,0,0,0,0,0,0,2,Rocky Roe,"W.Garland (3-42), S.Monge (2-BW)",CLE,1980
103,104,Aug 8,False,MIL,"L,1-4",8.0,6,4,4,0,3,7,1,0,4.66,32,,,,,4,1,29,1,0,0,0,0,0,0,1,Nick Bremigan,L.Barker (4-58-L),CLE,1980
104,105,Aug 9,False,MIL,"L,2-4",8.0,6,4,3,1,3,3,0,0,4.65,32,,,1.0,1.0,0,0,28,3,0,1,0,1,1,0,3,Jim Evans,"B.Owchinko (16-47-L), V.Cruz (2), S.Monge (1)",CLE,1980
105,106,Aug 10(1),False,MIL,"L,1-5",8.0,9,5,5,0,2,2,0,0,4.66,34,,,,,0,0,32,5,0,0,0,0,1,0,1,Jim McKean,R.Grimsley (4-44-L),CLE,1980
106,107,Aug 10(2),False,MIL,"W,9-4",9.0,6,4,4,0,1,0,0,0,4.65,34,,,,,0,0,31,2,0,0,0,2,0,0,1,Larry Barnett,D.Spillner (5-58-W),CLE,1980
107,108,Aug 12,True,TEX,"W,2-1",9.0,6,1,1,0,1,1,0,0,4.62,32,,,1.0,0.0,1,1,30,0,1,0,1,0,0,1,2,Durwood Merrill,"R.Waits (5-69-W), V.Cruz (2-Sv)",CLE,1980
108,109,Aug 13,True,TEX,"W,14-3",9.0,6,3,3,0,4,3,1,0,4.6,35,,,2.0,0.0,0,0,30,1,0,0,0,1,0,2,2,Derryl Cousins,"W.Garland (5-56-W), M.Stanton (9)",CLE,1980
109,110,Aug 14,True,TEX,"W,7-2",9.0,10,2,2,0,2,6,0,0,4.58,39,,,2.0,0.0,1,0,37,0,0,0,0,0,0,0,2,Marty Springstead,"L.Barker (5-58-W), S.Monge (4)",CLE,1980
110,111,Aug 15,True,MIL,"L,1-4",9.0,11,4,4,0,1,4,2,0,4.57,36,,,0.0,0.0,1,2,35,3,0,0,0,0,1,0,2,Larry McCoy,"R.Grimsley (4-49-L), V.Cruz (2)",CLE,1980
111,112,Aug 16,True,MIL,"L,5-10",9.0,18,10,10,0,3,4,2,0,4.62,45,,,2.0,0.0,0,1,40,6,0,1,1,1,0,0,4,Rocky Roe,"D.Spillner (5-20-L), S.Wihtol (12), M.Stanton (2), S.Monge (1)",CLE,1980
112,113,Aug 17(1),True,MIL,"L,0-4",9.0,8,4,3,1,2,4,2,1,4.61,37,,,2.0,0.0,0,1,33,0,0,0,1,0,1,1,2,Fred Spenn,"R.Waits (4-51-L), M.Stanton (0)",CLE,1980
113,114,Aug 17(2),True,MIL,"L,1-11",9.0,13,11,9,2,3,3,0,0,4.65,44,,,2.0,2.0,0,0,39,3,1,0,1,1,2,0,3,Greg Kosc,"B.Owchinko (7-28-L), S.Wihtol (0), M.Stanton (-1)",CLE,1980
114,115,Aug 18(1),False,CHW,"W,4-2",9.0,3,2,2,0,4,12,0,0,4.62,34,,,,,1,0,30,1,0,0,0,0,0,0,1,George Maloney,L.Barker (3-81-W),CLE,1980
115,116,Aug 18(2),False,CHW,"L,2-7",8.0,11,7,7,0,2,3,1,0,4.65,35,,,2.0,2.0,1,0,33,2,0,0,0,0,0,1,4,Dallas Parks,"W.Garland (4-29-L), M.Stanton (0), S.Monge (1), V.Cruz (2)",CLE,1980
116,117,Aug 19,False,CHW,"W,8-5",9.0,8,5,5,0,2,2,2,0,4.65,35,,,1.0,0.0,0,0,33,1,0,0,0,0,0,2,2,Rocky Roe,"R.Grimsley (3-48-W), S.Monge (0-Sv)",CLE,1980
117,118,Aug 20,False,CHW,"W,3-0",9.0,1,0,0,0,2,8,0,0,4.61,30,,,,,0,0,28,0,0,0,0,0,0,0,1,Jerry Neudecker,D.Spillner (3-91-W),CLE,1980
118,119,Aug 21,False,KCR,"W,4-3",9.0,6,3,3,0,4,7,2,0,4.6,36,,,2.0,0.0,0,1,32,1,0,0,0,0,0,0,3,Nick Bremigan,"R.Waits (3-49-W), S.Monge (1-H), V.Cruz (2-Sv)",CLE,1980
119,120,Aug 22,False,KCR,"W,4-1",9.0,6,1,1,0,3,7,1,0,4.57,36,,,0.0,0.0,0,0,33,0,1,0,0,0,0,0,2,Jim McKean,"L.Barker (3-66-W), S.Monge (0-Sv)",CLE,1980
120,121,Aug 23,False,KCR,"L,2-3",8.0,7,3,3,0,3,2,0,0,4.56,32,,,1.0,0.0,3,0,28,1,0,1,0,1,0,2,2,Jim Evans,"W.Garland (4-49-L), V.Cruz (1)",CLE,1980
121,122,Aug 24,False,KCR,"L,5-7",8.0,11,7,7,0,4,7,0,0,4.58,40,,,3.0,1.0,2,0,36,1,1,0,0,0,1,0,4,Larry Barnett,"R.Grimsley (4-26-L), M.Stanton (5), B.Owchinko (6), S.Wihtol (6)",CLE,1980
122,123,Aug 25,True,MIN,"W,4-3",9.0,12,3,3,0,1,4,0,0,4.57,39,,,1.0,0.0,0,0,38,2,0,0,0,0,0,1,2,George Maloney,"D.Spillner (4-42-W), S.Monge (2-Sv)",CLE,1980
123,124,Aug 26,True,MIN,"L,1-5",9.0,10,5,5,0,2,3,0,0,4.57,38,,,2.0,1.0,0,0,35,1,0,0,1,0,0,1,2,Jerry Neudecker,"R.Waits (4-28-L), S.Wihtol (1)",CLE,1980
124,125,Aug 27,True,MIN,"W,4-1",9.0,10,1,1,0,2,11,0,0,4.54,38,,,3.0,1.0,1,1,35,0,0,0,0,1,0,0,2,Rocky Roe,"L.Barker (4-61-W), V.Cruz (3-Sv)",CLE,1980
125,126,Aug 29,True,CHW,"W,6-5",9.0,8,5,5,0,4,2,1,1,4.55,41,,,2.0,0.0,3,0,35,0,0,0,1,0,1,0,3,Fred Spenn,"W.Garland (5-43), S.Monge (3-BW), V.Cruz (1-Sv)",CLE,1980
126,127,Aug 30,True,CHW,"W,6-2",9.0,8,2,2,0,0,5,0,0,4.53,34,,,2.0,0.0,0,0,33,3,1,0,1,0,0,1,2,Don Denkinger,"D.Spillner (4-56-W), V.Cruz (0-Sv)",CLE,1980
